Hotel_Name,Full_Review,Average_Score
Paddington Court Executive Rooms, Noise from outside  Location to Paddington,7.9
Paddington Court Executive Rooms, Nothing  Excellent location for visiting site Hotel good quality,7.9
Paddington Court Executive Rooms,  Location ,7.9
Paddington Court Executive Rooms,  great and helpful staff great location right next to paddington where heathrow express starts from,7.9
Paddington Court Executive Rooms, The room was very small without any windows It was freezing and the heating was on maximum   Breakfast was good ,7.9
Paddington Court Executive Rooms, Room is too small My phone got stolen by cleaner  Convenient location Friendly staff,7.9
Paddington Court Executive Rooms, Employees a bit rude Expensive Compact rooms   Clean room modern design comfortable bed ,7.9
Paddington Court Executive Rooms, Room is small for two Can recommend to solo traveler   Location is good,7.9
Paddington Court Executive Rooms, Employees rude   Room was clean bed comfortable,7.9
Paddington Court Executive Rooms, Nithing  Room compact but extremely well layed out with high standard of finish ,7.9
Paddington Court Executive Rooms, Size of room I m 1 98cm tall Small bed   Location,7.9
Paddington Court Executive Rooms, Rooms are a little too small You get biscuits ONLY on your 1st night s stay Extremely stingy practical for busine  Good location Clean,7.9
Paddington Court Executive Rooms, Rooms a little small   Modern and clean facilities close to Paddington Station,7.9
Paddington Court Executive Rooms, I didn t like the size of the executive rooms  I liked the service in this hotel,7.9
Paddington Court Executive Rooms, not very happy having a room in the basement very small bar did not sell lager or beer  good staff,7.9
Paddington Court Executive Rooms, rooms are too small   Great location staff are friendly and cooperative ,7.9
Paddington Court Executive Rooms,  Convenient nice room,7.9
Paddington Court Executive Rooms, Small room doesn t look like one in picture  Friendly staff,7.9
Paddington Court Executive Rooms,  very friendly staff excellent location excellent breakfast,7.9
Paddington Court Executive Rooms, The rooms are very small And some rooms are without lifts  Good location Very supportive staff,7.9
Paddington Court Executive Rooms, Room wasn t serviced until late afternoon  Clean and modern great location,7.9
Paddington Court Executive Rooms,  Staff friendly and helpful clean rooms very good breakfast,7.9
Paddington Court Executive Rooms,  Lovely room upgraded Really helpful staff Great location,7.9
Paddington Court Executive Rooms, So small rooms a tiny window in the room as I was travelling alone  Location area proper building rooms,7.9
Paddington Court Executive Rooms, Single room was very small although it did have everything I needed  Staff were excellent friendly,7.9
Paddington Court Executive Rooms, No soundproofing from above very noisy people   Staff and position of hotel excellent ,7.9
Paddington Court Executive Rooms, Size of the Room   Location Security Clean and functional Bathroom,7.9
Paddington Court Executive Rooms,  The staff were excellent Cannot praise them enough,7.9
Paddington Court Executive Rooms,  everything,7.9
Paddington Court Executive Rooms, Bit small  Location cleanlines,7.9
Paddington Court Executive Rooms,  The staff were brilliant,7.9
Paddington Court Executive Rooms,  Close to train station friendly staff,7.9
Paddington Court Executive Rooms, It is expensive and does not reflect on its value  I like the Staff and all of them are so kind and helpful,7.9
Paddington Court Executive Rooms,  The upgrade after our first night due to noisy neighbours,7.9
Paddington Court Executive Rooms, Lounge is almost a path way and empty  ,7.9
Paddington Court Executive Rooms, The service and the room are way to small completely different to what shows on the web site breakfast was horrible  The beds,7.9
Paddington Court Executive Rooms, Everything   Stored in the basement with a generator outside our bedroom window Terrible nights sleep Definitely not a 4 star hotel Shocking ,7.9
Paddington Court Executive Rooms, A little small but that s ok  Location friendliness cleanliness and value for the money,7.9
Paddington Court Executive Rooms, Inconsistent room service Given biscuits 2 out of 6 nights Complained twice Iron leaked water   Clean and modern,7.9
Novotel London Paddington, Nothing  Staff friendly and helpful Clean with good facilities and ideal quiet location Room perfect and really enjoyed tasty breakfast We really enjoyed our stay ,8.5
Novotel London Paddington, Food could be a bit more polished but was good  Great option for a hotel near Heathrow airport as its next to the station where the Heathrow express stops at Good size room for London,8.5
Novotel London Paddington, Nothing applicable   The staff hospitality and room preparation faultless Bed was very comfortable whilst Television was huge Excellent breakfast and hospitality throughout Thoroughly enjoyed our stay at Novotel ,8.5
Novotel London Paddington, Photos are deceptive If you are travelling with younger children and need interconnecting rooms you will have a twin room and a double room on the 1st or 2nd floor They were dark small and Super impractical One of the rooms will automatically have a wheelchair friendly bathroom which is not practical as water goes everywhere and shower in twin room is small Nonetheless you can get an upgrade and staff were very helpful But unfortunately would not go back   Breakfast was nice and healthy and children ate for free Nice clean breakfast ,8.5
Novotel London Paddington, We was told we would have a larger room for ease of access with a adapted pushchair for a disabled child the room was incredibly tight and couldn t turn   Friendly staff lovely location The cot provided had a mattress topper and was very comfortable for the baby Something I ve never seen provided in other hotels m,8.5
Novotel London Paddington, Very odd design of rooms In this Novotel have stayed in a few you have a small separate toilet just behind the door no wash hand basin In addition energy saving bulbs take 2 minutes to warm up so don t expect to see anything initially The actual bathroom is accessed from the main room just beside the bed around the corner as you enter in a superior twin Very small bathroom shower I m not a big chap and to more easily access toiletries I had to place them in the bath Also there really is insufficient storage space for your clothes i e drawers We lived out of our respective suitcases during the stay of 3 nights  Modern hotel within very easy reach of Paddington Station once you have sussed the route Bright airy breakfast lounge but the bar area is rather too clinical However very close to a lot of bars and restaurants where you would chose to go Breakfast is the usual fare Cannot fault the staff who are all very helpful ,8.5
Novotel London Paddington, a better selection of fruit for breakfast More shower gel in rooms as one does not go far for two people  a good position for Paddington Station and district ,8.5
Novotel London Paddington,  Lovely location very close to Paddington but quiet and safe bars and restaurants very close by lovely outdoor pub next door close to Little Venice nice room and facilities ,8.5
Novotel London Paddington, The absolute ignorance of the pool by the staff The appalling and irresponsible behaviour of some guests and their children breaking all the rules what could lead to a trauma and severe hurt is absolutely not controlled by the staff No one NEVER stopped it There is NO STAFF near the pool Some people jumping and taking all the SMALL pool for themselves simply do not let other guests of the hotel to swim quietly Tired customers have to argue with impolite people instead of relax after a hard business day The presence of staff fulfilling their duties correctly could help resolving this problem The hotel also could control and aloud the parents with kids under 14 be in the pool only before at least 8 p m I am generous there is some hotels with severe restrictions like 2 p m to let the others relax after this time and it will be fair because lots of parents absolutely do not control their children s noisy and dangerous behaviour and even show the bad example themselves Another thing my husband was absolutely furious leaving the shower he discovered a mum of 2 teenagers inside MENS changing room The manager who saw it it was minutes before closing did tell NOTHING Yes we got that the pool is without surveillance and everything is our personal risk but I do not think the customers are ok with that Is the pool a part of the hotel It works like not but it is surely included in the customers bill Make it for additional price but control it or do something because the ignorance like this could not lead to anything right This is absolutely shameful for the overpriced hotel do not respect the customers I really think to find another hotel to stay next time and stop being a returning and loyal client   This time nothing except the location ,8.5
Novotel London Paddington,  The Hotel was one of the few in London that did not add 1000 to the cost of a room when thousands of BA passengers were stranded at Heathrow on 27th May They went out of their way to accommodate the two of us and a very nervous young woman from Cambodia who did not have a credit card and could not book a room online Award a Gold Star to Novotel ,8.5
Novotel London Paddington, If you open the window you can here the train and road traffic noise which is normal for London but you can here the noise from the open air bar below The swimming pool was freezing and the shower in ladies didn t work   Easy walk from Paddington station and to the tube and great breakfast,8.5
Novotel London Paddington, We have stayed many times at this hotel On this occasion we were put in a room that needed matainance This even flashed up on the computer but was still given to us Door handle broken and the air condition did not work in hot May Told our room would have a view when we got in to have a view of the next door office block looking into workers office This is classed as excecutive room Staff in restaurant not friendly or welcoming A change in atmosphere from previous stays but overall disappointed this time with the hotel   location,8.5
