Hotel_Name,Full_Review,Average_Score
Hotel Pension Baron am Schottentor, Air conditioning could have been better as it was a mobile unit which was noisy and not very cool   The hotel was very clean and reception staff helpful and friendly Hotel within walking distance of underground 10 minutes walk to old town ,8.0
Hotel Pension Baron am Schottentor, The only thing I could fault is that there was no kettle in the bedroom   Staff were very friendly I loved the high ceilings the d cor the spacious rooms and the lovely view from the balcony Location was excellent Just a short 10 minute walk away from the centre It is a lovely walk and you basically just walk straight There are many restaurants and cafes beside the hotel which are a lot cheaper than the restaurants in the centre ,8.0
Hotel Pension Baron am Schottentor, It was very warm inside no air conditionjng We opened the windows to cool down but the bouse of trams and other traffic firced us to shut the windows   The location was really good only 15 walk from the city centre ,8.0
Hotel Pension Baron am Schottentor, The wifi internet was not very strong in our room we had to usually go down to the lobby for stronger connection If you re planning on working browsing during your stay this is a major problem   The location is great right in front of Sigmund Freud Park and the Votive Church Votivkirche There is a metro station a few blocks away The reception was helpful in booking a trip to Bratislava and arranging an early check out ,8.0
Hotel Pension Baron am Schottentor, was warm no fan very hard to stick bathroom not great Guy at desk was not very helpfully   Walking distance to everthing clean view from my room No10 ,8.0
Hotel Pension Baron am Schottentor, Lack of written information at the hotel in the room about what is acceptable expected of guests  The location was for me and my interests great Close to both the city centre and the Museum Quarter the staff was really nice and helpfull ,8.0
Hotel Pension Baron am Schottentor, 1 The interior furnishing is not quite well maintained Extremely irritated with the uneven stretch of laminated wooden flooring near the bed as I often got kicked or tripped by the protrusion Another minor issue is the wall cabinet in the toilet that cannot be closed 2 Shower unit is relatively small even for a petite size Asian person like me At times I would hit myself as there is not much room space to maneuver Perhaps a double room unit might give you more room space 3 General cleanliness is above average 4 Sound insulation is not too good between rooms Even though I requested for a quiet room the room that s allocated to me is near the kitchen restaurant area so it seems my request was not really taken after all The above mentioned matters are probably due to the discounted price that I got so I guess what you pay is what you get   Staff at reception are helpful and friendly fortunately ,8.0
Hotel Pension Baron am Schottentor, There is no one at the reception from 8 pm till 8 am the room wasn t well cleaned it does not look as 4 stars hotel but for the low price we paid compared to others hotels what we got in a good location was enough for us  The location is good,8.0
Hotel Pension Baron am Schottentor, There was no AC  Location was just right within walkable distance to any place in Central Vienna Staff was very friendly Room was overall very comfortable,8.0
Hotel Pension Baron am Schottentor, There was a shortage of water and we were not refunded or offered any kind of bonus or just to hear An excuse words Plus the breakfast 10 is too expensive  ,8.0
Hotel Pension Baron am Schottentor,  some rooms open right into the breakfast room no problem if you dont mind people first thing double french doors in my room made it very quiet classic altbau vienna high ceilings etc but newly renovated location is best very nice ,8.0
Hotel Pension Baron am Schottentor, The staff wasn t very friendly and was a bit rude to my parents when they asked to leave their luggage downstairs because it s hard for them to carry heavy stuff while climbing stairs   The location was great the room was okay There wasn t any water kettle which is usually expected in a starred hotel room ,8.0
Hotel Pension Baron am Schottentor, The windows of my room were on the main street so it was a bit noisy   The location with respect to the University is excellent I liked the bed mattress and pillows were very comfortable ,8.0
Hotel Pension Baron am Schottentor, Dont have additional locks for the door only one   Location is great especially if you have a room on the side of the street and has a small balcony not all rooms have one so you may want to request that ,8.0
Hotel Pension Baron am Schottentor, No airconditioned very hot upon our arrival until we stayed for 1 night then check out Bad experience during our trip it s hard for us to sleep eventhough we try to open all the window whole night   Internet connection Room was big and location,8.0
Hotel Pension Baron am Schottentor, No air conditioner Although it is not hot outside if you open the window you cant close the curtain and very noisy since there are many bars downstairs Wrong rating by the site doesnt look like a four stars hotel should be at most three star hotel  Location is quite good ,8.0
Hotel Pension Baron am Schottentor, We had a misunderstanding with the breakfast and had to pay 60 for an ok breakfast The shower was horrible and the room didn t have an airconditioning only a mild fan This hotel is far from four star hotel as advertised in booking com   Room was clean the location is ok ,8.0
Hotel Pension Baron am Schottentor, It is definitely not a 4 star hotel in my opinion I picked this hotel instead of others which were also offering breakfast because it claimed to be a 4 star but this is not the case Also the shower was not very clean After a couple of minutes it accumulates water which is an indication that there are many hairs It was only for a night so I didn t bother Finally the room was quite small even without a chair   Location was nice and the staff friendly but nothing more A typical 2 3 stars hotel ,8.0
Hotel Pension Baron am Schottentor, Room next to breakfast space The elevator goes from mezzanine not from the ground level   Comfortable room fair breakfast good internet close to the city centre ,8.0
Hotel Pension Baron am Schottentor, Make sure to advise if arrive to check in after 9 pm front doors get locked Shower was very tight and hot cold control was tricky to balance TV didn t work   Room was clean large lobby Staff was courteous and friendly Location was good close to metro and if you like walking 25 minutes from heart of Vienna ,8.0
Hotel Pension Baron am Schottentor, In the bathroom the small door of the furniture above the sink did not remain closed   Excellent location next to the Votivkirke just a few minutes from the main square Friendly and helpful staff good and generous breakfast ,8.0
Hotel Pension Baron am Schottentor, We could hear our neighbors sneezing through the walls Also we stayed in room 101 which is facing backyard At 6am there was a very loud banging there not sure what was it exactly So that was rather unpleasant way to wake up If breakfast is not included in your bill do NOT go for it Very poor choice For 10eu you can get much better stuff from the outside   The room was spacious and had comfortable bed Location is convenient if you like to walk around the city ,8.0
Hotel Pension Baron am Schottentor, Price is too high for such quality Our room door was in the middle of breakfast hall next to the tables Not so easy to find hotel door in the building and outside   Location ,8.0
Hotel Pension Baron am Schottentor, Breakfast was very bad There is only pork salami you dont have any choice if you dont eat pork There is very limited choice of food Isolation of the room was very bad you can hear what they talk in next room There is no minibar   room was very big and clean Also the bathroom also was very big Location is really good very close to city center and metro ,8.0
Hotel Pension Baron am Schottentor, Room was small and the shower was hot then cold a lot  Location was good very lovely 20 minute walk into the centre and the area is beautiful Room was clean and had everything we needed Staff were helpful and offered us a choice of two rooms on arrival,8.0
Hotel Pension Baron am Schottentor, The room was extremely noisy so our sleep was very poor The shower was either boiling hot or freezing cold almost impossible to get a reasonable temperature  ,8.0
Hotel Pension Baron am Schottentor, No soundproof and the working hours of the reception just until 7pm so if you need anything you have to call them Don t forget to ask for a key to the outside door otherwise you will be locked out   Location 10 walking distance from the city center and friendly staff,8.0
Hotel Pension Baron am Schottentor, There was nothing we did not like We just wished for one thing tea coffee facility in the room   1 Hotel staff were very friendly and helpful We had arrived around 10 pm and the reception staff had waited for us He was very welcoming In fact we were in for a surprise The hotel had upgraded us to the best room they had since it was our anniversary And even left a small chocolate gift on our table We were really touched by this gesture from the hotel 2 The room was big and comfortable It had lovely windows and a pretty chandelier The view out of the room was straight at the magnificent Votive Church The toilet too was big Facilities in the room were modern and chic And the best part think the room windows were soundproofed Not a single sound from the roads could be heard 3 Location is fantastic Even though Schottentor area is not on the Ringstrasse it is very close to it and is well connected by metro tram and hop on hop off tourist bus stop The hotel is just a 5 minutes walk away from the metro station 4 Hotel facilities were perfect There is a lift wi fi works well digital safe in the room keys for main entrance to the building luggage storage facility after check out is available We hadn t tried the breakfast so cannot comment on that ,8.0
Hotel Pension Baron am Schottentor, Hair dryer was a little bit weird   The location was near a tram station and a 5 minute walk from a metro station It was so easy to go to the city centre also the region was so lively and secure ,8.0
Hotel Pension Baron am Schottentor,  Very friendly and helpful staff especially at Reception Receptionist from Canary Islands on duty on 04APR16 went out of her way to assist when I lost my purse credit cards and money She guided me and printed all the necessary information to report the incident for insurance purposes A huge thank you for excellent customer service ,8.0
Hotel Pension Baron am Schottentor, Bathroom was a little tired and could do with overhaul but it was cleaned to a good standard no lift available on ground floor had to take stairs up until you reached lift on 1st floor   The bedroom was modern It was well located near the university 5 mins from nearest underground station Lovely view of gothic church from our room Lots of caf s within couple of minutes walk and a Bar across the road Nice walk into centre in bout 15 mins or so ,8.0
Hotel Pension Baron am Schottentor,  The location was great 2 minute walk to train and tram stop The staff were very friendly with maps and giving advice Prompt service The room was good basic but comfortable Very clean Great heating ,8.0
Hotel Pension Baron am Schottentor, I really cannot think of any  EVERYTHING Literally the best option for solo travelers who don t wanna squeeze in hostels but still want to spend good time within budget This is a very old fashion designed pension previous private large apartments I guess He front desk staff is particularly excellent and professional I over heard him talk in Austrian German English Russian And who knows what else ,8.0
Hotel Pension Baron am Schottentor, The only downside is that some rooms are entering from breakfast area so I guess it can be loud in the morning althouth it didn t wake us up But anyway it was more then great for the amount we paid We recommend it and would definitely come again   Nice cozy apartment with friendly staff in beautiful part of Vienna Awesome double bed and very clean in a beautiful building in safe neighbourhood About 15 minutes walk from Stefanplatz cathedral Nice neighbourhood with bunch of caffees stores and nice restaurants ,8.0
Hotel Pension Baron am Schottentor, For some reason there was no heating during night which didn t really matter as it wasn t that cold around  The room was really big and comfortable Windows overlook a beautiful gothic church The location is very convenient for strolls in the center,8.0
Hotel Pension Baron am Schottentor, Our room was literally in the middle of the breakfast area which meant we could hear people and children talking from very early in the morning right next to our door There was even a breakfast table placed right in the way of our bedroom door so we accidentally hit someone with the door when leaving the room This should be explicitly stated in the website at the time of booking so that people can actually decide whether they re ok with this or not  ,8.0
Hotel Pension Baron am Schottentor, If I have to knit pick it took a while for the room to heat up due to the high ceilings but they did offer electric heaters   We got a room upgrade on arrival The room was large comfortable and clean ,8.0
Hotel Pension Baron am Schottentor, Getting the right water temperature in the shower takes a lot of patience either scalding hot or freezing but this minor when you compare it to all the positives   Fantasic location within walking distance to everywhere Only used public transport D1 tram to Schottentor to get from the Hauptbahnhof to the hotel back to the train station Lovely staff great room ,8.0
Hotel Pension Baron am Schottentor,  It was a good choice to stay at this pension The location was very good just in the middle of everything even the look from your window is satisfying viewing the gorgeous church Votivkirche And it really worth the price i recommend it ,8.0
Hotel Pension Baron am Schottentor, The rooms are too warm and sometimes it is impossible to sleep at night   Very friendly staff especially a young woman who tried helping us all the time The location is also perfect ,8.0
Hotel Pension Baron am Schottentor,  Really good stay and amazing location Walls are thin so you can hear other peoples conversation but good enough to sleep and people are quiet at night ,8.0
Hotel Pension Baron am Schottentor, Don t have TV in Russian  Beautiful hotel with very friendly staff speaking German English Russian They are always ready to help and to give a good advice Comfortable room and a very good location ,8.0
Hotel Pension Baron am Schottentor, Cold tap first then add hot to the shower   Excellent central location with a beautiful church and town hall visible from my window Museums theater and parliament just a short walk Tram outside and Underground easy walk Plenty of places to eat drink nearby Helpful friendly staff,8.0
Hotel Pension Baron am Schottentor, The noise spent nights awake listening to the room next door if you like sleep do not stay here Doors very loud  Location and the breakfast lady was very friendly,8.0
Hotel Pension Baron am Schottentor, The shower was really poor Took about 10 minutes to find the right temperature as it was very temperamental   The staff were great Very friendly and accomadated any questions or queries Room was perfect size for a solo travelor The breakfast was good The location was good took about 10 minutes to walk down to the Opera House As a tourist if you use the hop on and off bus there is a stop close to the hotel Public transport also stops outside the hotel ,8.0
Hotel Pension Baron am Schottentor, The rooms look much bigger in the photo than they are in real life   The location is very good the only thing that in opposite side of the street is some club with quite loud music ,8.0
Hotel Pension Baron am Schottentor,  Perfect location I arrived by bus from the airtort to Morzinplatz and it took me 15 minutes walking to be at the hotel City centre and all places for sightseeing are also very close You almost never need to take public transport which is rather expensive in Vienna Room was small but very pretty and clean There are two supermarkets near Spar and Billa where you can buy food for good prices ,8.0
Hotel Pension Baron am Schottentor, Nothing  very good location near from underground can walk to everywhere at ring road very helpful and friendly staff I highly recommended with this hotel,8.0
Hotel Pension Baron am Schottentor,  The staff were knowledgable thoughtful polite and extremely helpful The Hotel was in an excellent position to explore the city by foot or tram Many restaurants cafes close by with a range of food options and prices ,8.0
Hotel Pension Baron am Schottentor,  In a lovely spot walking distance from everything but also near a tube station with caf s and restaurants nearby Our room was clean comfortable and pretty The man at reception couldn t have been more helpful great restaurant recommendation Amazing price for the experience ,8.0
Hotel Pension Baron am Schottentor, On the days of our staying it was 36 C so luck of airconditioner and refrigerator was serious issue in such hot weather  The staff is very freindly and supporting any request was addressed,8.0
Hotel Pension Baron am Schottentor, There was a aircondition in our room but didn t work that well   Really nice hotel and staff was also helpful Clean place and beautiful rooms Close to the ring where almost every sightseeing place and museums aso are 4 5km to maintrainstation but not much for a taxi to get there about 10 15 ,8.0
Hotel Pension Baron am Schottentor, I had only one night there And for exploring and feeling Vienna you better get more time   Very nice place Typical Vienna luxury sort of imperial Yet pretty available Red carpets everywhere high ceilings creates very special atmosphere From your window you can see park gothic church traditional Vienna cafes imperial buildings Near the center the tram station is just 2 buildings away and the imperial palace is no longer than 15 minutes walk Staff is very nice and helpful ,8.0
Hotel Pension Baron am Schottentor, There was no air con in the room which we don t normally mind however it was ridiculously hot in the room all day and all night We had a fan but it didn t do much at all It was very uncomfortable   It was a beautiful hotel with a lovely big room Friendly receptionist Great location and close to metro and centre ,8.0
