Hotel_Name,Full_Review,Average_Score
Rafayel Hotel Spa, Impossible to have a relaxed shower the water was either got or cold I left something in the hotel and wrote to enquire but received no answer at all   Spacious and quiet room Wonderful bathroom,8.0
Rafayel Hotel Spa, The staff were pretty rude on reception and the whole point of going there was the use of the spa The pool wasn t in use which meant everything was just too hot jacuzzi and steam room there was no coldness to offset the heat I almost passed out   Food was great,8.0
Rafayel Hotel Spa, Most complicated shower in spite of instructions surely something wrong if instructions needed for a shower in any case Proximity to helipad  Great river view form Banyan restaurant,8.0
Rafayel Hotel Spa, The pool was broken   The hotel met all my requirements as requested for my partners birthday Amazing hotel would definitely return and recommend to friends and family ,8.0
Rafayel Hotel Spa, The pictures on the walls weren t straight and even had paint on them from the walls the lights didnt work The bottom of the wardrobe was all sticky and dirty not sure what went off in there the ironing board cover well there wasn t one a very cheaply done 5 hotel Not so sure how it got 5 starts 3star max  Bathroom Big windows,8.0
Rafayel Hotel Spa, Not happy that the 50 minibar deposit was not mentioned in our booking Being treated as a potential thief was a deeply unpleasant way to begin our stay We ve never had to pay a deposit before and the onus on the hotel is to recover the monies from guests who do abuse the minibar as opposed to making honest guests pay a deposit because of the actions of others I d also add that charging for coffee pods is exceptionally mean spirited Secondly the heating was not adjustable below 18 degrees This is not very green despite the hotels claim to be so Finally some members of staff were dour and unwelcoming This needs to be addressed as it is not pleasant to be greeted with sullen unsmiling staff members   Good sized bed huge clean rooms Quiet ,8.0
Rafayel Hotel Spa, Shower operation illogical Very noisy at night with other guests in the corridor making a lot of noise into the early hours woken at 3am Some electrical operations not working lights a c heating   Great view Comfortable bed Good bar Excellent in room tea coffee making facilities Nice helpful staff Secure parking ,8.0
Rafayel Hotel Spa, Check in was quite busy but must have been the time I arrived The hydro pool was being reconstructed so was out of use   The feel of the hotel really was lovely The spa was small but quiet so didn t matter at all Intimate feel ,8.0
Rafayel Hotel Spa, the bed was two singles pushed together could have been better for 365 pound   the Jacuzzi was great and good choices in mini bar lots of seating in the room also which was nice,8.0
Rafayel Hotel Spa, The hotel itself was confusing It was apartments and a hotel which wasn t stated when booking and when I arrived it looked a mess from the outside as the apartments at the top looked like it was a dumping ground for furniture There was no clear entrance for parking or the hotel and we were greeted by a woman who was anything but warm After a couple of minutes she became helpful however never cracked a smile or made us feel welcome The bathroom had hair all in the shower which made us not want to use it Our room was nice clean and spacious but our view was tainted by it literally being face to face with the gym window so I had to be careful when walking around getting changed as people on the tredmills could see me very clearly The whole reason I booked the hotel was because of the spa facilities however the hydropool was out of use which we weren t told and so we cancelled our bookings because we wanted to relax in the pool and we re disappointed we weren t told until check in as this would of changed my mind on the hotel We ordered breakfast room service and ordered tea even though it was free in our room because we wanted larger mugs When it arrived we had no cutlery no cups no spoons no toast So I called downstairs to tell reception which took 3 calls because no one answered and they gave me attitude because I asked for cups and cutlery After 15 minutes we received our cutlery and toast etc however the man delivering it really didn t believe me and came into the room without me allowing him even though I was not dressed comfortably for this On check out I had to pay for the breakfast and the tea and it was not worth the money for the hassle I felt stressed leaving which I shouldn t have   The room was nice Spacious The shuttle service to the station was good and the drivers were very friendly ,8.0
Rafayel Hotel Spa, Location is what it is but was not great Access was tough and hard to find especially for taxi drivers The hotel is not 5 Even if I owned it and was trying to big it up I would be embarrassed to called it 5 The place was badly designed grubby and had a whole host of random pieces of furniture everywhere very odd The rooms were not very clean badly maintained and corners had obviously been cut in every aspect Sure signs of a hotel not making money or management who simply don t care Very poor   We had an Emporer Suite and the jacuzzi was OK I can t think of anything else nice to say ,8.0
Rafayel Hotel Spa, The TV in the bedroom wouldn t work so we had to call someone up three times and when we was looking for a second remote we found an empty comdom packet in one of the drawers and there was a hair bobble on the side of the bath which suggested the room hadn t been cleaned properly   The jacuzzi in the room and the space of the rooms,8.0
Rafayel Hotel Spa, Preauthorisation of card still waiting for a refund of 50 to go back to my account   Spacious rooms great staff and I like the fact it was right by the river ,8.0
Rafayel Hotel Spa, The Spa wanted to use the facilities with my friends but the hydro pool wasn t working and we couldn t all fit in the jacuzzi steam room or sauna at the same time very disappointed  The room was spacious and really comfortable,8.0
Rafayel Hotel Spa, Unable to control room temperature it was stuck at 25 degrees Jacuzzi was not working during our stay and the whole spa facilities were in any case far too small for a hotel of this size   Excellent room layout comfortable beds river view ,8.0
Rafayel Hotel Spa, The jacuzzi and pool were out of use doesn t say on the website or anywhere  The rooms were very nice and bigger than expected Beds were very comfy the bar at night was lovely with all the lights Staff at the bar were also friendly and enthusiastic music was good ,8.0
Rafayel Hotel Spa, No bars or eating facilities nearby only restaurant not in hotel being charged 50 pounds deposit on room and having to give I d not told bout either be fore hand miles from any had booked for may but have cancelled overload building yards not great at all  The bed the shower,8.0
