Hotel_Name,Full_Review,Average_Score
Novotel Amsterdam City, The surrounding area  Bed was very comfy,7.8
Novotel Amsterdam City, Being charged more than the price on booking comnot happy at all paid over 100 more ,7.8
Novotel Amsterdam City, Was told that I had booked a Triple Deluxe which turned out to be a Queen and a pull out sofa bed  ,7.8
Novotel Amsterdam City,  All of the staff were lovely and welcoming Bed we re very comfty Clean good priced hotel ,7.8
Novotel Amsterdam City, The room in the pictures was lot bagger en more luxurieus  The vieuw,7.8
Novotel Amsterdam City, Paid for a executive room but same as standard only extra little things Room size same  Bar staff,7.8
Novotel Amsterdam City, Nothing  Excellent breakfast good service to use shower after running the marathon Big plus for the staff,7.8
Novotel Amsterdam City, N A  Nice room spacious and clean ,7.8
Novotel Amsterdam City, sometimes to clean carpets more by water way and working system for doors i had twice problem to open them with my card   all great,7.8
Novotel Amsterdam City,  Very friendly and helpful staff ,7.8
Novotel Amsterdam City, Rooms were really dusty ,7.8
Novotel Amsterdam City,  Excellent,7.8
Novotel Amsterdam City, 70 room deposit not made aware of Rooms a little worn  Modern reception,7.8
Novotel Amsterdam City, Parking fee too high ,7.8
Novotel Amsterdam City, Room is too small   Room is very clean ,7.8
Novotel Amsterdam City,  The staff was very nice and helpful The room was good and the food amazing ,7.8
Novotel Amsterdam City,  Friendly and helpful staff comfy bed perfect range of breakfast Really nice hotel ,7.8
Novotel Amsterdam City,  Breakfast buffet is very nice ,7.8
Novotel Amsterdam City, Rooms are old and carpet was full of marks  Breakfast was very good,7.8
Novotel Amsterdam City, slow check in and check out processing bed wasn t ready at check in time air con not working properly  ,7.8
Novotel Amsterdam City, The room was average and a bit small   The breakfast is one of the best I have ever had at a hotel ,7.8
Novotel Amsterdam City, Not much to say there really Only stayed a night and enjoyed it   Comfortable and clean Helpful staff Good location between city centre and airport,7.8
Novotel Amsterdam City,  Extremely rude staff Tiny rooms The reception area very clean and rooms dirty,7.8
Novotel Amsterdam City, Electronic door keys failed on many occasions ,7.8
Novotel Amsterdam City, Everything  Nothing,7.8
Novotel Amsterdam City,  Friendly staff great selection of food at the restaurant at any time of the day located close to train station for easy access,7.8
Novotel Amsterdam City,  Staff were all friendly helpful breakfast was great with loads of variety 2 min walk to tran station,7.8
Novotel Amsterdam City,  Good bed to sleep in It was clean helpful staff Very good location to go into Amsterdam ,7.8
Novotel Amsterdam City,  Service staff location,7.8
Novotel Amsterdam City, Email responses non existent  Comfy bed Friendly staff Good location Close to public transport,7.8
Novotel Amsterdam City, Very disappointing no toothpaste provided Cleaners knocked on door at 10 30 while I m in middle changing Poor soundproof walls ,7.8
Novotel Amsterdam City, We were told the reservation was upgraded with no additional charges Found out later additional charges did apply  Reservation was upgraded,7.8
Novotel Amsterdam City, Nothing really  The staff ,7.8
Novotel Amsterdam City, Electronics door keys are a pain failing all the time Had to have mine replaced twice during a 2 day stay ,7.8
Novotel Amsterdam City, The staff so awful not polite in the morning shift while we were checked out That so bad for the hotel as novotel ,7.8
Novotel Amsterdam City, Cleaning can be better  Hotel next to tram station Helpful crew Great breakfast,7.8
Novotel Amsterdam City, Everything  Nothing,7.8
Novotel Amsterdam City,  I liked that the Hotel was so modern and fancy Our room was big and had enough space,7.8
Novotel Amsterdam City,  Pleasant environment Parking at the hotel ,7.8
Novotel Amsterdam City, Some of the restaurant staff were rude   Quiet and but out of the city Centre Friendly front office staff ,7.8
Novotel Amsterdam City,  Friendly staff very nice to children,7.8
Novotel Amsterdam City, Reception staff weren t very helpful  Bar staff and room service was very good,7.8
Novotel Amsterdam City, A bit far from the center of amsterdam but with excellent connections by metro and tram   Very nice rooms with view perfect bed excellent breakfast ,7.8
Novotel Amsterdam City, Noisy asian tourist lots people smoke in the entrance doorway  Everything was excellent,7.8
Novotel Amsterdam City, Rooms very small  Location,7.8
Novotel Amsterdam City, Bathrooms need a facelift  Very comfortable beds,7.8
Novotel Amsterdam City, All good  Location cleanliness,7.8
Novotel Amsterdam City, too small the room was for 3 people  the hotel reception and staff,7.8
Novotel Amsterdam City, The price quality of the pizza on night room service  The wireless speaker,7.8
Novotel Amsterdam City,  Bed was great and staff were super friendly ,7.8
Novotel Amsterdam City, Nothing really I chose location away from centre   Restaurant food was excellent and rooms were clean ,7.8
Novotel Amsterdam City, Older type rooms   Ok hotel basic Communal areas very nice ,7.8
Novotel Amsterdam City, Booked three single beds and ended up with double bed and sofa bed  ,7.8
Novotel Amsterdam City, I had dinner in their restaurant and they charged me 3 5 euro for bread that is ridicules  ,7.8
Novotel Amsterdam City,  Good breakfast ,7.8
Novotel Amsterdam City, Notting bad to say but fabulous  Fabulous,7.8
Novotel Amsterdam City, Disappointed with menu in restaurant for evening meal Room was not made up until 5pm  nice bar reception and comfy rooms,7.8
Novotel Amsterdam City,  The transport links were excellent 10mins on the train from the airport right next to the tram stop and night bus service ,7.8
Novotel Amsterdam City, Was quite far from Dam central ,7.8
Novotel Amsterdam City, Sauna  Lovely helpful staff,7.8
Novotel Amsterdam City,  Desapointing unconfortable bed unpolite hotel s personal,7.8
Novotel Amsterdam City, poor air conditioning slow elevators lack of capacity not so helpfull staff ,7.8
Novotel Amsterdam City, Wanted a security deposit for mini bar supposedly Two bottles of water Ridiculous  ,7.8
Novotel Amsterdam City,  Clean and efficient food was good breakfast buffet excellent ,7.8
Novotel Amsterdam City,  Very close to the tram stop n 4 to reach the city center,7.8
Novotel Amsterdam City, no info on very high on site car parking charges when making a booking  excellent breakfast menu,7.8
Novotel Amsterdam City, Lack of available tables at breakfast as they hadn t been cleared from previous use   Excellent breakfast choice friendly attentive staff ,7.8
Novotel Amsterdam City,  Location Staff helpful,7.8
Novotel Amsterdam City, Nothing to complain of  Location excellent for access to tram into centre Also close to v pretty park,7.8
Novotel Amsterdam City, May be bit closer too city would have been better  Bed was very comfortable,7.8
Novotel Amsterdam City, Room beds old and unclean facilities   Room is quite small so are the beds Nothing worths the money but the location ,7.8
Novotel Amsterdam City, Expensive and a fair travel from center  Clean and tidy,7.8
Novotel Amsterdam City,  room cleaning quiet comfort very close to train metro bus station,7.8
Novotel Amsterdam City, No pool Hotel parking was Euro 22 per day   Work out area ,7.8
Novotel Amsterdam City, Beer expensive  Great breakfast,7.8
Novotel Amsterdam City, room is a bit small for such a price More security camera  Friendly staffs nice food a lot of parking space,7.8
Novotel Amsterdam City,  Comfy bed and great location for the rai and stations,7.8
Novotel Amsterdam City, Room not clean High price for breakfast ,7.8
Novotel Amsterdam City,  Breakfast was great Good connection with city centre,7.8
Novotel Amsterdam City,  Staff were exceptionally helpful and had a great sense of humour Bar food and breakfast were fine and all efficiently delivered ,7.8
Novotel Amsterdam City,  Excellent WIFI Comfortable beds Clean Rooms Friendly staff,7.8
Novotel Amsterdam City, Earlier check in would help  Access to Rai,7.8
Novotel Amsterdam City, Location to city centre  Very practical,7.8
Novotel Amsterdam City, Food and Beverage prices were quite high   The bed was very comfortable and the hotel was situated in a very quiet location ,7.8
Novotel Amsterdam City, The rooms are very old and not good value for my money room very dusty  All staff were very friendly,7.8
Novotel Amsterdam City, Shower need to be fixed Ac was weak  Staff Cleanliness Breakfast,7.8
Novotel Amsterdam City, Nothing  Everything brilliant stay,7.8
Novotel Amsterdam City,  Good location,7.8
Novotel Amsterdam City,  Great facilities good food excellent staff and good location for transport links into the city,7.8
Novotel Amsterdam City, To far from city centre  Nice hotel very clean and nice staff,7.8
Novotel Amsterdam City,  staff were very accomodating and helpful They will give you information on the local tourist attractions ,7.8
Novotel Amsterdam City, Distance from centre  Lovely clean hotel,7.8
